region_id,crop_name,state,major_districts,regional_variety
1,Potato,Uttar Pradesh,"Agra, Farrukhabad, Kannauj",Kufri Bahar
2,Potato,West Bengal,"Hooghly, Bardhaman",Kufri Jyoti
3,Potato,Bihar,"Nalanda, Patna",Kufri Pukhraj
4,Potato,Punjab,"Jalandhar, Ludhiana",Kufri Chipsona
5,Potato,Gujarat,"Banaskantha, Deesa",Kufri Pukhraj
6,Fennel,Gujarat,"Banaskantha, Mehsana",GF-2
7,Fennel,Rajasthan,"Sirohi, Jalore",RF-125
8,Fennel,Madhya Pradesh,"Neemuch, Mandsaur",GF-2
9,ChickPea,Madhya Pradesh,"Vidisha, Sehore",JG-11
10,ChickPea,Maharashtra,"Latur, Akola",Vijay
11,ChickPea,Rajasthan,"Kota, Bundi",GNG-1581
12,ChickPea,Uttar Pradesh,"Kanpur, Jhansi",KWR-108
13,ChickPea,Gujarat,"Banaskantha, Amreli",GG-2
14,Tomato,Andhra Pradesh,"Madanapalle, Kadapa",Arka Rakshak
15,Tomato,Karnataka,"Kolar, Chikkaballapur",Arka Vikas
16,Tomato,Maharashtra,"Nashik, Pune",Bhima Shakti
17,Tomato,Gujarat,"Sabarkantha, Anand",GT-2
18,Banana,Maharashtra,"Jalgaon, Solapur",Grand Naine
19,Banana,Tamil Nadu,"Trichy, Theni","Poovan, Grand Naine"
20,Banana,Gujarat,"Surat, Bharuch",Grand Naine
21,Banana,Andhra Pradesh,East Godavari,Grand Naine
22,Barley,Rajasthan,"Ganganagar, Bikaner",RD-2552
23,Barley,Uttar Pradesh,"Etawah, Agra",K-551
24,Barley,Madhya Pradesh,"Morena, Bhind",RD-2035
25,Barley,Gujarat,Banaskantha,GAUB-1
26,Maize,Karnataka,"Davangere, Belagavi",NK-6240
27,Maize,Madhya Pradesh,"Chhindwara, Betul",DKC-9108
28,Maize,Bihar,"Katihar, Purnia",local hybrids
29,Maize,Gujarat,"Panchmahal, Dahod",GM-6
30,Mustard,Rajasthan,"Bharatpur, Alwar",RH-749
31,Mustard,Haryana,"Hisar, Sirsa",RH-30
32,Mustard,Uttar Pradesh,"Mathura, Agra",Varuna
33,Mustard,Gujarat,"Sabarkantha, Banaskantha",GM-3
34,Guar,Rajasthan,"Jodhpur, Barmer, Bikaner",RGC-1066
35,Guar,Haryana,"Hisar, Sirsa",HG-365
36,Guar,Gujarat,"Banaskantha, Patan",GG-1
37,Castor,Gujarat,"Mehsana, Banaskantha, Sabarkantha",GCH-7
38,Castor,Andhra Pradesh,"Anantapur, Kurnool",DCH-519
39,Castor,Rajasthan,Sri Ganganagar,GCH-7
40,Sunflower,Karnataka,"Raichur, Bidar",KBSH-44
41,Sunflower,Andhra Pradesh,"Kurnool, Mahbubnagar",MSFH-17
42,Sunflower,Gujarat,"Surendranagar, Rajkot",GAUSFH-1
43,Sesame,Rajasthan,"Jaipur, Alwar",RT-346
44,Sesame,Madhya Pradesh,"Guna, Vidisha",JT-7
45,Sesame,Gujarat,"Banaskantha, Mehsana",GT-2
46,Sesame,West Bengal,Murshidabad,local
47,Cotton,Gujarat,"Rajkot, Bhavnagar, Amreli",Bt RCH-2
