task_id,crop_name,stage,day_from_sowing_start,day_from_sowing_end,task_category,task,description,frequency,priority
1,Potato,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
2,Potato,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
3,Potato,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
4,Potato,Sowing,0,3,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
5,Potato,Sowing,0,3,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
6,Potato,Sowing,0,3,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
7,Potato,Germination & Establishment,3,14,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
8,Potato,Germination & Establishment,3,14,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
9,Potato,Germination & Establishment,3,14,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
10,Potato,Vegetative Growth,14,40,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
11,Potato,Vegetative Growth,14,40,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
12,Potato,Vegetative Growth,14,40,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
13,Potato,Vegetative Growth,14,40,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
14,Potato,Flowering / Reproductive,40,63,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
15,Potato,Flowering / Reproductive,40,63,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
16,Potato,Flowering / Reproductive,40,63,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
17,Potato,Flowering / Reproductive,40,63,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
18,Potato,Maturity & Pre-Harvest,63,86,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
19,Potato,Maturity & Pre-Harvest,63,86,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
20,Potato,Maturity & Pre-Harvest,63,86,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
21,Potato,Harvest & Post-Harvest,86,90,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
22,Potato,Harvest & Post-Harvest,86,90,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
