crop_id,crop_name,local_name,scientific_name,variety,season,sowing_month,harvest_days,ideal_ph_min,ideal_ph_max,tolerated_ph_min,tolerated_ph_max,ideal_ec_max,texture,drainage,rainfall_min,rainfall_max,temp_min,temp_max,irrigation_type,target_yield,N_required,P_required,K_required,Zn_required,Fe_required,drought_tolerance,salinity_tolerance,waterlogging_tolerance,common_pests,common_diseases,source
1,Potato,Bataka,Solanum tuberosum,Kufri Pukhraj,Rabi,November,90,5.5,6.5,5.0,7.5,1.5,"[""sandy loam"", ""loam""]",well-drained,40,80,15,25,drip/sprinkler,300.0,180,80,100,High,Medium,Low,Low,Low,"[""aphid"", ""potato tuber moth""]","[""late blight"", ""early blight""]",ICAR Package of Practices / State Agri University (GAU) recommendations
2,Fennel,Variyali,Foeniculum vulgare,GF-2,Rabi,October,150,6.5,8.0,6.0,8.5,2.0,"[""loam"", ""sandy loam""]",well-drained,40,70,15,30,drip/sprinkler,15.0,50,30,30,Low,Low,Medium,Medium,Low,"[""aphid"", ""thrips""]","[""blight"", ""powdery mildew""]",ICAR Package of Practices / State Agri University (GAU) recommendations
3,ChickPea,Chana,Cicer arietinum,GG-2,Rabi,October,100,6.0,7.5,5.5,8.5,2.0,"[""loam"", ""clay loam""]",well-drained,40,80,10,30,rainfed/sprinkler,18.0,20,50,20,Medium,Low,High,Low,Low,"[""pod borer"", ""cutworm""]","[""wilt"", ""ascochyta blight""]",ICAR Package of Practices / State Agri University (GAU) recommendations
4,Tomato,Tamatar,Solanum lycopersicum,GT-2,Rabi,October,110,6.0,7.0,5.5,7.5,2.5,"[""loam"", ""sandy loam""]",well-drained,60,120,15,32,drip,400.0,150,80,150,High,Medium,Low,Low,Low,"[""fruit borer"", ""whitefly""]","[""early blight"", ""leaf curl virus"", ""bacterial wilt""]",ICAR Package of Practices / State Agri University (GAU) recommendations
5,Banana,Kela,Musa spp.,Grand Naine,Annual,June,330,6.0,7.5,5.5,8.0,2.0,"[""loam"", ""clay loam""]",well-drained,1200,2000,15,35,drip,600.0,200,60,300,High,High,Low,Low,Low,"[""banana weevil"", ""aphid""]","[""panama wilt"", ""sigatoka leaf spot""]",ICAR Package of Practices / State Agri University (GAU) recommendations
6,Barley,Jav,Hordeum vulgare,GAUB-1,Rabi,November,115,6.5,8.5,6.0,9.0,4.0,"[""loam"", ""sandy loam""]",well-drained,40,80,10,28,flood/rainfed,35.0,80,40,20,Low,Low,High,High,Low,"[""aphid"", ""termite""]","[""yellow rust"", ""covered smut""]",ICAR Package of Practices / State Agri University (GAU) recommendations
7,Maize,Makai,Zea mays,GM-6,Kharif,June,100,5.5,7.5,5.0,8.0,1.7,"[""loam"", ""sandy loam""]",well-drained,500,1000,18,35,drip/flood,55.0,120,60,40,High,Medium,Medium,Low,Low,"[""fall armyworm"", ""stem borer""]","[""turcicum leaf blight"", ""downy mildew""]",ICAR Package of Practices / State Agri University (GAU) recommendations
8,Mustard,Rai/Sarso,Brassica juncea,GM-3,Rabi,October,120,6.0,7.5,5.5,8.5,3.0,"[""loam"", ""sandy loam""]",well-drained,25,40,10,25,sprinkler,15.0,80,40,40,Medium,Low,Medium,Medium,Low,"[""aphid"", ""painted bug""]","[""white rust"", ""alternaria blight""]",ICAR Package of Practices / State Agri University (GAU) recommendations
9,Guar,Guvar,Cyamopsis tetragonoloba,GG-1,Kharif,July,90,6.5,8.5,6.0,9.0,3.0,"[""sandy"", ""sandy loam""]",well-drained,300,500,25,40,rainfed,10.0,20,40,20,Low,Low,High,High,Low,"[""aphid"", ""jassid""]","[""bacterial blight"", ""alternaria leaf spot""]",ICAR Package of Practices / State Agri University (GAU) recommendations
10,Castor,Erandi,Ricinus communis,GCH-7,Kharif,July,150,6.0,7.5,5.0,8.5,2.0,"[""sandy loam"", ""clay loam""]",well-drained,500,750,20,38,drip/flood,22.0,100,50,30,Medium,Low,High,Medium,Low,"[""semilooper"", ""capsule borer""]","[""wilt"", ""grey mould"", ""leaf spot""]",ICAR Package of Practices / State Agri University (GAU) recommendations
11,Sunflower,Suryamukhi,Helianthus annuus,GAUSFH-1,Rabi,November,95,6.0,7.5,5.5,8.5,2.5,"[""loam"", ""sandy loam""]",well-drained,40,80,15,32,sprinkler/drip,18.0,60,40,40,Medium,Low,Medium,Medium,Low,"[""capitulum borer"", ""aphid""]","[""alternaria blight"", ""downy mildew""]",ICAR Package of Practices / State Agri University (GAU) recommendations
12,Sesame,Til,Sesamum indicum,GT-2,Kharif,July,90,5.5,8.0,5.0,8.5,1.5,"[""sandy loam"", ""loam""]",well-drained,400,650,25,38,rainfed,6.0,40,20,20,Low,Low,High,Low,Low,"[""gall fly"", ""leaf webber""]","[""phyllody"", ""leaf spot""]",ICAR Package of Practices / State Agri University (GAU) recommendations
13,Cotton,Kapas,Gossypium hirsutum,Bt Cotton (RCH-2),Kharif,June,180,6.0,8.0,5.5,8.5,2.0,"[""clay"", ""clay loam""]",well-drained,600,1200,21,37,drip/rainfed,20.0,120,60,60,Medium,Low,Medium,Medium,Low,"[""pink bollworm"", ""whitefly"", ""aphid""]","[""bacterial blight"", ""wilt""]",ICAR Package of Practices / State Agri University (GAU) recommendations
14,Groundnut,Mafali/Sing,Arachis hypogaea,GG-20,Kharif,June,110,6.0,7.5,5.5,8.0,1.5,"[""sandy loam"", ""loam""]",well-drained,500,1000,20,35,rainfed/sprinkler,25.0,25,50,75,High,Medium,High,Low,Low,"[""leaf miner"", ""white grub"", ""thrips""]","[""tikka leaf spot"", ""rust"", ""collar rot""]",ICAR Package of Practices / State Agri University (GAU) recommendations
15,Chilli,Marcha,Capsicum annuum,GVC-101,Kharif,June,150,6.0,7.0,5.5,7.5,2.0,"[""loam"", ""sandy loam""]",well-drained,600,1200,20,35,drip,25.0,150,80,100,High,Medium,Medium,Low,Low,"[""thrips"", ""mites"", ""fruit borer""]","[""leaf curl virus"", ""anthracnose (die-back)"", ""bacterial wilt""]",ICAR Package of Practices / State Agri University (GAU) recommendations
16,Wheat,Ghau,Triticum aestivum,GW-496,Rabi,November,120,6.5,7.5,6.0,8.5,2.5,"[""loam"", ""clay loam""]",well-drained,50,100,10,25,flood/sprinkler,45.0,120,60,40,Medium,Low,Low,Medium,Low,"[""termite"", ""aphid""]","[""rust"", ""powdery mildew"", ""loose smut""]",ICAR Package of Practices / State Agri University (GAU) recommendations
17,Sugarcane,Sherdi,Saccharum officinarum,CoN-05071,Annual,February,365,6.5,7.5,5.5,8.5,3.0,"[""clay loam"", ""loam""]",well-drained,1000,1500,20,38,flood/drip,900.0,250,100,120,High,Medium,Low,Medium,Medium,"[""early shoot borer"", ""top borer""]","[""red rot"", ""smut""]",ICAR Package of Practices / State Agri University (GAU) recommendations
18,MungBean,Mag,Vigna radiata,GM-4,Summer,March,65,6.2,7.2,5.5,8.0,1.5,"[""sandy loam"", ""loam""]",well-drained,300,500,25,40,sprinkler,10.0,20,40,20,Medium,Low,Medium,Low,Low,"[""whitefly"", ""pod borer""]","[""yellow mosaic virus"", ""cercospora leaf spot""]",ICAR Package of Practices / State Agri University (GAU) recommendations
19,Turmeric,Haldar,Curcuma longa,Salem,Kharif,May,270,5.5,7.5,5.0,8.0,1.5,"[""loam"", ""clay loam""]",well-drained,1000,2000,20,35,drip,250.0,120,60,120,High,Medium,Low,Low,Low,"[""shoot borer"", ""rhizome scale""]","[""leaf blotch"", ""rhizome rot""]",ICAR Package of Practices / State Agri University (GAU) recommendations
20,Bajra,Bajri,Pennisetum glaucum,GHB-538,Kharif,July,80,6.5,8.0,5.5,9.0,3.0,"[""sandy"", ""sandy loam""]",well-drained,300,600,25,40,rainfed,20.0,60,30,20,Low,Low,High,High,Low,"[""shoot fly"", ""stem borer""]","[""downy mildew"", ""ergot""]",ICAR Package of Practices / State Agri University (GAU) recommendations
21,Soybean,Soyabean,Glycine max,JS-335,Kharif,June,100,6.0,7.5,5.5,8.0,2.0,"[""clay loam"", ""loam""]",well-drained,600,1000,20,35,rainfed,20.0,30,60,40,Medium,Medium,Medium,Low,Low,"[""stem fly"", ""girdle beetle""]","[""yellow mosaic virus"", ""rust""]",ICAR Package of Practices / State Agri University (GAU) recommendations
22,Onion,Dungdi,Allium cepa,Bhima Super,Rabi,November,110,6.0,7.0,5.5,7.5,1.5,"[""loam"", ""sandy loam""]",well-drained,40,80,13,32,drip,300.0,100,50,50,High,Medium,Low,Low,Low,"[""thrips"", ""onion maggot""]","[""purple blotch"", ""stemphylium blight""]",ICAR Package of Practices / State Agri University (GAU) recommendations
23,UradBean,Adad,Vigna mungo,GU-1,Kharif,July,75,6.2,7.5,5.5,8.0,1.5,"[""loam"", ""sandy loam""]",well-drained,400,700,25,38,rainfed,10.0,20,40,20,Medium,Low,Medium,Low,Low,"[""whitefly"", ""pod borer""]","[""yellow mosaic virus"", ""leaf crinkle virus""]",ICAR Package of Practices / State Agri University (GAU) recommendations
24,Rice,Chokha/Dangar,Oryza sativa,GR-11,Kharif,June,130,5.5,7.0,5.0,8.0,4.0,"[""clay"", ""clay loam""]",poor (bunded),1000,2000,21,37,flood,50.0,100,50,50,High,Medium,Low,Medium,High,"[""stem borer"", ""brown planthopper""]","[""blast"", ""bacterial leaf blight"", ""sheath blight""]",ICAR Package of Practices / State Agri University (GAU) recommendations
25,Pigeonpea,Tuvar/Arhar,Cajanus cajan,GT-1,Kharif,June,150,6.0,7.5,5.5,8.5,2.0,"[""loam"", ""clay loam""]",well-drained,600,1000,20,35,rainfed,15.0,25,50,25,Medium,Low,High,Low,Low,"[""pod borer"", ""pod fly""]","[""wilt"", ""sterility mosaic""]",ICAR Package of Practices / State Agri University (GAU) recommendations
