fertilizer_plan_id,crop_name,stage,products_and_dose,purpose
1,Potato,Basal (at sowing / land prep),"DAP: 173.9 kg/ha, MOP: 166.7 kg/ha, Urea (top-up): 127.6 kg/ha, + FYM 5-10 t/ha during land prep","Supplies full P, full K, half of N; FYM improves soil structure and micronutrient availability"
2,Potato,"Top-dress 1 (~30-40% crop duration, vegetative)",Urea: 97.8 kg/ha,"Boosts vegetative growth; apply after weeding, with soil moisture present"
3,Potato,"Top-dress 2 (~55-65% crop duration, flowering/reproductive)","Urea: 97.8 kg/ha, Zinc Sulphate: 20 kg/ha (if High Zn deficiency indicated by soil test)",Supports flowering/grain-fill; most yield-critical nitrogen application
4,Fennel,Basal (at sowing / land prep),"DAP: 65.2 kg/ha, MOP: 50.0 kg/ha, Urea (top-up): 28.8 kg/ha, + FYM 5-10 t/ha during land prep","Supplies full P, full K, half of N; FYM improves soil structure and micronutrient availability"
5,Fennel,"Top-dress 1 (~30-40% crop duration, vegetative)",Urea: 27.2 kg/ha,"Boosts vegetative growth; apply after weeding, with soil moisture present"
6,Fennel,"Top-dress 2 (~55-65% crop duration, flowering/reproductive)",Urea: 27.2 kg/ha,Supports flowering/grain-fill; most yield-critical nitrogen application
7,ChickPea,Basal (at sowing / land prep),"DAP: 108.7 kg/ha, MOP: 33.3 kg/ha, Urea (top-up): 0.0 kg/ha, + FYM 5-10 t/ha during land prep","Supplies full P, full K, half of N; FYM improves soil structure and micronutrient availability"
8,ChickPea,"Top-dress 1 (~30-40% crop duration, vegetative)",Urea: 10.9 kg/ha,"Boosts vegetative growth; apply after weeding, with soil moisture present"
9,ChickPea,"Top-dress 2 (~55-65% crop duration, flowering/reproductive)","Urea: 10.9 kg/ha, Zinc Sulphate: 20 kg/ha (if Medium Zn deficiency indicated by soil test)",Supports flowering/grain-fill; most yield-critical nitrogen application
10,Tomato,Basal (at sowing / land prep),"DAP: 173.9 kg/ha, MOP: 250.0 kg/ha, Urea (top-up): 95.0 kg/ha, + FYM 5-10 t/ha during land prep","Supplies full P, full K, half of N; FYM improves soil structure and micronutrient availability"
11,Tomato,"Top-dress 1 (~30-40% crop duration, vegetative)",Urea: 81.5 kg/ha,"Boosts vegetative growth; apply after weeding, with soil moisture present"
12,Tomato,"Top-dress 2 (~55-65% crop duration, flowering/reproductive)","Urea: 81.5 kg/ha, Zinc Sulphate: 20 kg/ha (if High Zn deficiency indicated by soil test)",Supports flowering/grain-fill; most yield-critical nitrogen application
13,Banana,Basal (at sowing / land prep),"DAP: 130.4 kg/ha, MOP: 500.0 kg/ha, Urea (top-up): 166.4 kg/ha, + FYM 5-10 t/ha during land prep","Supplies full P, full K, half of N; FYM improves soil structure and micronutrient availability"
14,Banana,"Top-dress 1 (~30-40% crop duration, vegetative)",Urea: 108.7 kg/ha,"Boosts vegetative growth; apply after weeding, with soil moisture present"
15,Banana,"Top-dress 2 (~55-65% crop duration, flowering/reproductive)","Urea: 108.7 kg/ha, Zinc Sulphate: 20 kg/ha (if High Zn deficiency indicated by soil test)",Supports flowering/grain-fill; most yield-critical nitrogen application
